Order1,Order2,Count,Norm,Norm_with_weight,H1,S1,Lt1,H2,S2,Lt2
7,16,3,60.725289821002384,0.0005496431909008129,348.38709677419354,65.95744680851064,73.505,319.99999999999994,6.024096385542164,49.408
7,20,3,65.47653521915649,1.0017639872135315,348.38709677419354,65.95744680851064,73.505,266.4,13.812154696132591,59.048
24,11,4,2.7281344168773054,8.321520110871055e-09,332.7272727272727,7.006369426751603,67.755,309.99999999999994,6.122448979591837,36.444
20,24,4,12.733961100669271,2.795146271830998,266.4,13.812154696132591,59.048,332.7272727272727,7.006369426751603,67.755
3,24,4,42.95532527702554,2.4783807576919434,346.8965517241379,49.71428571428571,55.813,332.7272727272727,7.006369426751603,67.755
2,16,4,36.401797848987584,36.392075923617135,342.27272727272725,41.9047619047619,49.293,319.99999999999994,6.024096385542164,49.408
7,11,4,61.27652321736378,7.199426484889396e-11,348.38709677419354,65.95744680851064,73.505,309.99999999999994,6.122448979591837,36.444
5,2,4,47.1513222204234,6.661064133812597,359.0,85.71428571428572,59.185,342.27272727272725,41.9047619047619,49.293
20,3,4,49.35119716674933,40.029826361472914,266.4,13.812154696132591,59.048,346.8965517241379,49.71428571428571,55.813
20,5,4,87.43640422080239,87.40358710569738,266.4,13.812154696132591,59.048,359.0,85.71428571428572,59.185
16,3,4,44.42551154952478,19.5604896691187,319.99999999999994,6.024096385542164,49.408,346.8965517241379,49.71428571428571,55.813
16,1,5,29.92811596944631,6.909627442795983,319.99999999999994,6.024096385542164,49.408,335.60439560439556,35.68627450980392,40.847
24,27,5,21.813694861148775,5.4713041514901635,332.7272727272727,7.006369426751603,67.755,45.51724137931034,22.834645669291344,76.071
27,20,5,34.483426811742326,0.10484519461427914,45.51724137931034,22.834645669291344,76.071,266.4,13.812154696132591,59.048
24,26,5,7.070542903735756,2.746228168017561,332.7272727272727,7.006369426751603,67.755,300.0,11.864406779660994,74.632
7,12,5,57.38039049783298,2.117969228776213e-09,348.38709677419354,65.95744680851064,73.505,31.199999999999996,12.562814070351758,38.847
12,5,5,75.38156331409616,0.019259387021026073,31.199999999999996,12.562814070351758,38.847,359.0,85.71428571428572,59.185
11,24,6,2.7281344168773054,8.321520110871055e-09,309.99999999999994,6.122448979591837,36.444,332.7272727272727,7.006369426751603,67.755
11,11,6,0.0,0.0,309.99999999999994,6.122448979591837,36.444,309.99999999999994,6.122448979591837,36.444
11,20,6,10.285035372401717,0.00037519322493242724,309.99999999999994,6.122448979591837,36.444,266.4,13.812154696132591,59.048
20,27,6,34.483426811742326,0.10484519461427914,266.4,13.812154696132591,59.048,45.51724137931034,22.834645669291344,76.071
11,30,6,60.033552434813025,4.654240468736184e-20,309.99999999999994,6.122448979591837,36.444,42.127659574468076,59.493670886075954,85.744
20,29,6,38.13946564433195,1.8055424179381571e-06,266.4,13.812154696132591,59.048,0.0,34.6938775510204,88.087
30,16,6,58.97126697307374,2.009877057180753e-10,42.127659574468076,59.493670886075954,85.744,319.99999999999994,6.024096385542164,49.408
24,5,6,79.49221475432842,18.294735825399318,332.7272727272727,7.006369426751603,67.755,359.0,85.71428571428572,59.185
26,3,6,42.49930681945789,0.03566078834769031,300.0,11.864406779660994,74.632,346.8965517241379,49.71428571428571,55.813
16,24,6,1.7432534227296366,0.0020777119328164294,319.99999999999994,6.024096385542164,49.408,332.7272727272727,7.006369426751603,67.755
2,11,6,36.8733322448769,1.357504064352709,342.27272727272725,41.9047619047619,49.293,309.99999999999994,6.122448979591837,36.444
5,26,6,80.2506564218001,0.6791167390803201,359.0,85.71428571428572,59.185,300.0,11.864406779660994,74.632
16,7,6,60.725289821002384,0.0005496431909008129,319.99999999999994,6.024096385542164,49.408,348.38709677419354,65.95744680851064,73.505
27,7,6,56.89437930025004,49.87225440368728,45.51724137931034,22.834645669291344,76.071,348.38709677419354,65.95744680851064,73.505
20,1,6,33.380967301568596,0.04427370396695093,266.4,13.812154696132591,59.048,335.60439560439556,35.68627450980392,40.847
5,7,6,24.160944237193885,0.3999791387131065,359.0,85.71428571428572,59.185,348.38709677419354,65.95744680851064,73.505
1,24,6,28.690892197651767,1.4747547910427054e-05,335.60439560439556,35.68627450980392,40.847,332.7272727272727,7.006369426751603,67.755
26,16,7,6.536806813472114,1.946327314947981e-05,300.0,11.864406779660994,74.632,319.99999999999994,6.024096385542164,49.408
24,16,7,1.7432534227296366,0.0020777119328164294,332.7272727272727,7.006369426751603,67.755,319.99999999999994,6.024096385542164,49.408
16,2,7,36.401797848987584,36.392075923617135,319.99999999999994,6.024096385542164,49.408,342.27272727272725,41.9047619047619,49.293
16,16,7,0.0,0.0,319.99999999999994,6.024096385542164,49.408,319.99999999999994,6.024096385542164,49.408
21,20,7,23.75066410530111,20.78341537285594,14.545454545454547,15.492957746478872,56.465,266.4,13.812154696132591,59.048
25,2,7,38.23870064544766,0.060722619912554995,47.368421052631575,21.839080459770102,67.245,342.27272727272725,41.9047619047619,49.293
17,7,7,58.51660398139068,0.00262668230699658,42.16216216216217,14.624505928853749,51.131,348.38709677419354,65.95744680851064,73.505
24,21,7,11.283836058993087,0.881453839728444,332.7272727272727,7.006369426751603,67.755,14.545454545454547,15.492957746478872,56.465
11,27,7,24.203066029666225,5.550973288502056e-13,309.99999999999994,6.122448979591837,36.444,45.51724137931034,22.834645669291344,76.071
11,25,7,23.424897493351786,1.3477448006301058e-07,309.99999999999994,6.122448979591837,36.444,47.368421052631575,21.839080459770102,67.245
2,26,7,34.0734848574096,9.026361033843794e-05,342.27272727272725,41.9047619047619,49.293,300.0,11.864406779660994,74.632
5,11,7,81.82816191787995,0.002636282477166272,359.0,85.71428571428572,59.185,309.99999999999994,6.122448979591837,36.444
24,7,7,59.24133961259607,30.585805546710986,332.7272727272727,7.006369426751603,67.755,348.38709677419354,65.95744680851064,73.505
3,20,7,49.35119716674933,40.029826361472914,346.8965517241379,49.71428571428571,55.813,266.4,13.812154696132591,59.048
30,7,7,56.99281768371868,2.849466386232192,42.127659574468076,59.493670886075954,85.744,348.38709677419354,65.95744680851064,73.505
1,16,7,29.92811596944631,6.909627442795983,335.60439560439556,35.68627450980392,40.847,319.99999999999994,6.024096385542164,49.408
16,21,8,12.963287085080728,4.788747790787278,319.99999999999994,6.024096385542164,49.408,14.545454545454547,15.492957746478872,56.465
20,17,8,26.345621836544314,7.522025182320413,266.4,13.812154696132591,59.048,42.16216216216217,14.624505928853749,51.131
12,16,8,12.055544574375423,1.2954186922163589,31.199999999999996,12.562814070351758,38.847,319.99999999999994,6.024096385542164,49.408
17,11,8,16.066010691522873,0.21489138984623668,42.16216216216217,14.624505928853749,51.131,309.99999999999994,6.122448979591837,36.444
25,24,8,21.094540958670937,20.984735109234546,47.368421052631575,21.839080459770102,67.245,332.7272727272727,7.006369426751603,67.755
20,30,8,70.0503185651448,4.522526123321398e-05,266.4,13.812154696132591,59.048,42.127659574468076,59.493670886075954,85.744
29,11,8,31.113960957752077,2.1245325423313563e-22,0.0,34.6938775510204,88.087,309.99999999999994,6.122448979591837,36.444
12,20,8,23.380757394172427,0.006675378844690106,31.199999999999996,12.562814070351758,38.847,266.4,13.812154696132591,59.048
24,2,8,35.014682174269055,0.03832886216985007,332.7272727272727,7.006369426751603,67.755,342.27272727272725,41.9047619047619,49.293
16,17,8,15.037875576957846,14.17108840114358,319.99999999999994,6.024096385542164,49.408,42.16216216216217,14.624505928853749,51.131
