Order1,Order2,Count,Norm,Norm_with_weight
16,30,9,58.97163363891206,1.3160386035301773e-08
5,27,9,71.93445259083455,63.16859756414821
25,7,9,57.81601259309513,0.42131537848528
26,30,9,63.062493145943385,19.58167166147402
24,1,9,28.690985476522147,0.017800830927253628
3,5,9,38.5413162917211,15.024999337284653
11,4,9,70.298444484272,8.354717168526002e-06
12,24,10,10.717528791265623,1.289182036237606e-07
25,26,10,27.791759596017304,2.492016792203238
29,24,10,28.647287593599643,0.0036486401035087713
24,29,10,28.647287593599643,0.0036486401035087713
28,24,10,20.415545109436493,0.2700813432211079
26,25,10,27.791759596017304,2.492016792203238
17,16,10,15.038286824103897,14.85455101659843
16,26,10,6.536496334261006,1.2139595569215002e-05
21,24,10,11.28400281021095,1.0118079925512864
15,16,10,15.882842696186222,5.864587639237568
16,29,10,30.327557733544968,1.3300077792270517e-12
11,8,10,15.442658102454514,2.0899365082218564
30,12,10,47.21891596362586,5.0125218671551214e-17
11,1,10,30.28095957526278,2.0827390911305192
15,24,10,14.45456780190533,4.882922240578318e-05
3,25,10,43.338375464130806,43.305090511878845
5,16,10,81.1211040041184,0.00873725308777373
11,15,10,16.941869810646573,8.87242969482494
7,25,10,57.81601259309513,0.42131537848528
3,11,10,44.96859926072866,1.5875459828861904e-05
6,24,10,79.27766185775344,15.581887427783405
3,27,10,42.552030448897916,7.235595703238314
11,21,11,13.999288304275296,0.005489259977978065
27,11,11,24.203230428224487,5.081184257403519e-11
20,26,11,7.651902742687585,0.36168636469872983
26,26,11,0.0,0.0
26,21,11,16.817377594817653,0.016282979038095727
30,24,11,57.40494720228649,0.5336589939070179
20,4,11,76.13033902290414,69.36579499584056
17,20,11,26.34592391207203,0.48917014403065695
22,24,11,16.929539032291324,0.6572830495194596
17,5,11,75.71010610614353,0.0041206625048309554
6,20,11,86.948543432278,2.0093353361949116
17,3,11,43.09098845517927,0.4005907968944886
6,11,11,81.5728548889908,1.412483273051117e-12
5,17,11,75.71010610614353,0.0041206625048309554
7,17,11,58.5159455508644,2.1112672541215677e-07
7,23,11,56.20125183151892,0.0018039772491335881
11,6,11,81.5728548889908,1.412483273051117e-12
3,12,11,41.65782828466821,2.7757018938473655e-05
30,2,11,52.83511027196728,9.82263564486126e-05
3,26,11,42.49931796981656,3.4937702292599653
21,16,12,12.963301698007594,4.78522381988655
26,12,12,17.45927526579956,6.353711797815806e-12
9,24,12,4.055347047777794,2.002882658292486e-11
22,20,12,29.661679791503452,8.14452196739963
25,11,12,23.42460715885315,6.673534274181039e-06
19,7,12,63.382619856513976,0.00021411391084463473
24,25,12,21.094425232990336,16.889593762994746
24,4,12,67.93783999877735,59.65900788417286
12,3,12,41.65782828466821,2.7757018938473655e-05
15,20,12,27.178546987363607,0.006642643139008461
7,19,12,63.382619856513976,0.00021411391084463473
7,5,12,24.161108297928056,4.747111108176693
4,24,12,67.93783999877735,59.65900788417286
4,11,12,70.298444484272,8.354717168526002e-06
4,20,12,76.13033902290414,69.36579499584056
20,6,12,86.948543432278,2.0093353361949116
26,2,12,34.0739915850767,0.05081437272092361
17,2,12,36.81037496257556,8.88005058743809
28,20,12,32.46964225495289,0.017314528856112753
25,5,12,73.05238438248637,30.030063546133352
3,28,12,47.83642442321261,0.06183742263886455
26,29,13,30.542077794413398,0.7853926561476748
11,28,13,22.358607418973314,2.3691620500209478e-17
24,28,13,20.415545109436493,0.2700813432211079
26,27,13,28.41028161746535,26.6942078772001
27,25,13,1.2298160380134393,0.22496093267886458
20,9,13,13.078033086744753,3.6925309714142673e-08
19,5,13,81.02632854178364,0.46058054336734466
28,16,13,21.396916451378978,1.038645275755308e-08
16,5,13,81.1211040041184,0.00873725308777373
28,7,13,62.60309272079458,56.04094035362123
21,7,13,52.49697038670192,0.0009792185924610767
2,24,13,35.01529545385382,4.038654932327337
20,8,13,25.607746824674265,1.264732991500405e-10
7,30,13,56.99311837923454,47.939553266046886
26,4,13,68.86416902976237,8.61037334803718
5,12,13,75.38113081688498,1.2961015006024354e-08
25,3,13,43.338375464130806,43.305090511878845
16,6,13,80.8882484779741,3.533201493634518e-05
21,26,13,16.817377594817653,0.016282979038095727
7,28,13,62.60309272079458,56.04094035362123
14,3,13,43.647305501524805,0.0090846116053047
7,7,13,0.0,0.0
3,15,13,40.374551944100226,0.003678049127085371
8,7,13,60.9446648930748,1.815720899094919e-23
11,17,14,16.066265269186534,0.9188901726982354
16,12,14,12.055692593178895,0.6276141217105846
