Order1,Order2,Count,Norm,Norm_with_weight,H1,S1,L1,H2,S2,L2
3,12,11,41.65782828466821,2.7757018938473655e-05,346.897,49.714,65.686,31.2,12.563,39.02
30,2,11,52.83511027196728,9.82263564486126e-05,42.128,59.494,84.51,342.273,41.905,58.824
3,26,11,42.49931796981656,3.4937702292599653,346.897,49.714,65.686,300.0,11.864,76.863
21,16,12,12.963301698007594,4.78522381988655,14.545,15.493,58.235,320.0,6.024,51.176
26,12,12,17.45927526579956,6.353711797815806e-12,300.0,11.864,76.863,31.2,12.563,39.02
9,24,12,4.055347047777794,2.002882658292486e-11,336.0,2.959,33.137,332.727,7.006,69.216
22,20,12,29.661679791503452,8.14452196739963,35.714,18.919,56.471,266.4,13.812,64.51
25,11,12,23.42460715885315,6.673534274181039e-06,47.368,21.839,65.882,310.0,6.122,38.431
19,7,12,63.382619856513976,0.00021411391084463473,60.0,10.811,56.471,348.387,65.957,81.569
24,25,12,21.094425232990336,16.889593762994746,332.727,7.006,69.216,47.368,21.839,65.882
24,4,12,67.93783999877735,59.65900788417286,332.727,7.006,69.216,359.524,74.118,66.667
12,3,12,41.65782828466821,2.7757018938473655e-05,31.2,12.563,39.02,346.897,49.714,65.686
15,20,12,27.178546987363607,0.006642643139008461,34.054,16.444,44.118,266.4,13.812,64.51
7,19,12,63.382619856513976,0.00021411391084463473,348.387,65.957,81.569,60.0,10.811,56.471
7,5,12,24.161108297928056,4.747111108176693,348.387,65.957,81.569,359.0,85.714,72.549
4,24,12,67.93783999877735,59.65900788417286,359.524,74.118,66.667,332.727,7.006,69.216
4,11,12,70.298444484272,8.354717168526002e-06,359.524,74.118,66.667,310.0,6.122,38.431
4,20,12,76.13033902290414,69.36579499584056,359.524,74.118,66.667,266.4,13.812,64.51
20,6,12,86.948543432278,2.0093353361949116,266.4,13.812,64.51,357.474,85.586,78.235
26,2,12,34.0739915850767,0.05081437272092361,300.0,11.864,76.863,342.273,41.905,58.824
17,2,12,36.81037496257556,8.88005058743809,42.162,14.625,50.392,342.273,41.905,58.824
28,20,12,32.46964225495289,0.017314528856112753,60.0,19.512,83.922,266.4,13.812,64.51
25,5,12,73.05238438248637,30.030063546133352,47.368,21.839,65.882,359.0,85.714,72.549
3,28,12,47.83642442321261,0.06183742263886455,346.897,49.714,65.686,60.0,19.512,83.922
26,29,13,30.542077794413398,0.7853926561476748,300.0,11.864,76.863,0.0,34.694,90.392
11,28,13,22.358607418973314,2.3691620500209478e-17,310.0,6.122,38.431,60.0,19.512,83.922
24,28,13,20.415545109436493,0.2700813432211079,332.727,7.006,69.216,60.0,19.512,83.922
26,27,13,28.41028161746535,26.6942078772001,300.0,11.864,76.863,45.517,22.835,75.098
