R1,G1,B1,R2,G2,B2,Count
16,136,110,9,82,84,34
16,136,110,20,140,132,34
18,140,123,2,106,132,34
14,115,94,24,179,149,34
6,152,156,16,136,110,34
2,106,132,30,222,222,34
18,140,123,16,136,110,35
25,171,176,21,156,132,35
28,222,206,27,189,203,35
26,199,177,28,222,206,35
29,225,192,22,160,127,35
32,255,255,3,124,143,35
21,156,132,1,82,119,35
22,160,127,1,82,119,35
26,199,177,4,107,108,35
6,152,156,28,222,206,35
27,189,203,28,222,206,36
20,140,132,28,222,206,36
28,222,206,16,136,110,36
16,136,110,12,100,87,36
18,140,123,29,225,192,36
24,179,149,14,115,94,36
15,120,101,12,100,87,36
14,115,94,1,82,119,36
3,124,143,10,90,74,36
30,222,222,12,100,87,37
21,156,132,29,225,192,37
11,92,102,31,239,222,37
20,140,132,20,140,132,37
24,179,149,9,82,84,37
28,222,206,1,82,119,37
1,82,119,28,222,206,37
2,106,132,3,124,143,37
26,199,177,8,79,63,38
20,140,132,12,100,87,38
20,140,132,30,222,222,39
26,199,177,9,82,84,39
24,179,149,28,222,206,39
28,222,206,30,222,222,39
16,136,110,19,148,123,39
30,222,222,28,222,206,39
13,109,104,24,179,149,39
13,109,104,29,225,192,39
9,82,84,26,199,177,39
8,79,63,12,100,87,39
29,225,192,19,148,123,39
28,222,206,24,179,149,39
16,136,110,6,152,156,39
1,82,119,21,156,132,39
1,82,119,14,115,94,39
1,82,119,7,177,189,39
25,171,176,31,239,222,40
16,136,110,14,115,94,40
26,199,177,18,140,123,40
16,136,110,28,222,206,40
20,140,132,8,79,63,40
15,120,101,6,152,156,40
14,115,94,30,222,222,40
30,222,222,2,106,132,40
2,106,132,10,90,74,40
15,120,101,1,82,119,40
5,125,127,10,90,74,40
10,90,74,25,171,176,41
24,179,149,13,109,104,41
21,156,132,17,123,133,41
28,222,206,20,140,132,41
27,189,203,10,90,74,41
15,120,101,4,107,108,41
30,222,222,14,115,94,41
10,90,74,2,106,132,41
6,152,156,7,177,189,41
