R1,G1,B1,R2,G2,B2,Count
194,106,132,165,148,123,20
82,79,63,194,106,132,20
104,92,102,156,156,132,21
129,120,101,104,92,102,21
206,199,177,206,199,177,21
129,120,101,182,171,176,21
129,120,101,163,152,177,21
112,100,87,203,189,203,21
82,79,63,147,136,110,21
138,123,133,82,79,63,21
131,115,94,239,225,192,21
131,115,94,239,177,189,21
173,82,119,187,179,149,21
245,125,127,173,160,127,21
194,106,132,120,109,104,21
131,115,94,194,106,132,21
165,140,132,211,124,143,21
194,106,132,82,79,63,21
156,140,123,239,177,189,21
239,177,189,194,106,132,21
239,177,189,87,82,84,21
165,148,123,211,124,143,21
222,222,206,104,92,102,22
173,160,127,104,92,102,22
147,136,110,187,179,149,22
120,109,104,182,171,176,22
187,179,149,239,222,222,22
165,140,132,173,82,119,22
187,179,149,239,225,192,22
147,136,110,239,225,192,22
87,82,84,194,106,132,22
211,124,143,156,140,123,22
173,82,119,147,136,110,22
173,82,119,239,225,192,22
233,107,108,211,124,143,22
245,125,127,165,148,123,22
239,177,189,173,82,119,22
187,179,149,206,199,177,23
138,123,133,165,148,123,23
203,189,203,87,82,84,23
99,90,74,239,177,189,23
87,82,84,211,124,143,23
203,189,203,173,82,119,23
82,79,63,239,225,192,23
233,107,108,203,189,203,23
173,82,119,233,107,108,23
211,124,143,239,177,189,23
206,199,177,147,136,110,24
165,140,132,206,199,177,24
206,199,177,165,140,132,24
203,189,203,247,152,156,24
82,79,63,182,171,176,24
233,107,108,194,106,132,24
245,125,127,82,79,63,24
194,106,132,233,107,108,24
233,107,108,173,82,119,24
173,160,127,182,171,176,25
138,123,133,129,120,101,25
203,189,203,173,160,127,25
104,92,102,120,109,104,25
138,123,133,173,160,127,25
112,100,87,147,136,110,25
239,225,192,187,179,149,25
156,156,132,194,106,132,25
239,225,192,165,140,132,25
156,140,123,211,124,143,25
245,125,127,239,222,222,25
211,124,143,194,106,132,25
156,140,123,182,171,176,26
138,123,133,120,109,104,26
104,92,102,129,120,101,26
156,140,123,104,92,102,26
112,100,87,131,115,94,26
187,179,149,187,179,149,26
165,140,132,147,136,110,26
239,222,222,206,199,177,26
239,225,192,82,79,63,26
245,125,127,131,115,94,26
147,136,110,206,199,177,27
239,225,192,129,120,101,27
129,120,101,203,189,203,27
120,109,104,138,123,133,27
129,120,101,138,123,133,27
239,222,222,147,136,110,27
239,222,222,203,189,203,27
239,225,192,173,82,119,27
112,100,87,173,82,119,27
173,160,127,194,106,132,27
194,106,132,129,120,101,27
194,106,132,173,160,127,27
239,177,189,99,90,74,27
239,225,192,131,115,94,27
203,189,203,129,120,101,28
147,136,110,82,79,63,28
131,115,94,206,199,177,28
182,171,176,99,90,74,28
239,225,192,87,82,84,28
147,136,110,239,222,222,28
131,115,94,112,100,87,28
239,222,222,187,179,149,28
131,115,94,147,136,110,28
120,109,104,194,106,132,28
82,79,63,173,82,119,28
87,82,84,239,225,192,28
233,107,108,206,199,177,28
99,90,74,163,152,177,29
112,100,87,165,140,132,29
87,82,84,203,189,203,29
173,160,127,138,123,133,29
120,109,104,104,92,102,29
156,140,123,203,189,203,29
165,148,123,245,125,127,29
112,100,87,206,199,177,29
206,199,177,239,222,222,29
131,115,94,165,140,132,29
120,109,104,211,124,143,29
211,124,143,173,160,127,29
194,106,132,222,222,206,29
194,106,132,156,140,123,29
173,82,119,165,140,132,29
165,148,123,203,189,203,30
112,100,87,112,100,87,30
187,179,149,112,100,87,30
173,160,127,203,189,203,30
163,152,177,129,120,101,30
187,179,149,82,79,63,30
182,171,176,156,140,123,30
165,140,132,187,179,149,30
156,140,123,138,123,133,30
203,189,203,165,148,123,30
147,136,110,147,136,110,30
112,100,87,233,107,108,30
203,189,203,82,79,63,30
239,222,222,239,177,189,30
156,140,123,245,125,127,30
239,177,189,239,222,222,30
173,82,119,129,120,101,30
194,106,132,255,255,255,30
131,115,94,203,189,203,31
129,120,101,239,225,192,31
222,222,206,239,225,192,31
120,109,104,203,189,203,31
239,222,222,165,140,132,31
99,90,74,245,125,127,31
206,199,177,247,152,156,31
82,79,63,245,125,127,31
239,225,192,239,222,222,31
247,152,156,187,179,149,31
112,100,87,239,222,222,32
239,239,222,163,152,177,32
206,199,177,129,120,101,32
239,222,222,239,225,192,32
187,179,149,247,152,156,32
112,100,87,247,152,156,32
82,79,63,206,199,177,32
131,115,94,245,125,127,32
245,125,127,156,140,123,32
247,152,156,112,100,87,32
173,82,119,82,79,63,32
194,106,132,112,100,87,32
247,152,156,203,189,203,32
247,152,156,165,140,132,32
203,189,203,156,140,123,33
206,199,177,112,100,87,33
156,140,123,206,199,177,33
239,177,189,255,255,255,33
247,152,156,206,199,177,33
203,189,203,156,156,132,34
156,156,132,203,189,203,34
138,123,133,156,156,132,34
255,255,255,194,106,132,34
