Order1,Order2,Count,Norm,Count_Norm
9.0,14.0,150,10.406248766571212,1560.0
9.0,15.0,127,12.755586660833774,1619.0
9.0,16.0,37,13.831635864886891,511.0
9.0,17.0,81,13.234530476134907,1071.0
9.0,18.0,169,12.145587917911552,2052.0
9.0,19.0,193,11.56175335435757,2231.0
9.0,20.0,30,24.25863565162657,727.0
9.0,21.0,85,12.171468506083217,1034.0
9.0,22.0,149,11.508731230926525,1714.0
9.0,23.0,155,13.217876588787924,2048.0
9.0,24.0,32,12.961882075705974,414.0
9.0,25.0,80,13.573960598905359,1085.0
9.0,26.0,52,16.263182203526043,845.0
9.0,27.0,78,10.61013980826006,827.0
9.0,28.0,124,10.935273155039596,1355.0
9.0,29.0,90,13.376136730087222,1203.0
9.0,30.0,56,13.79103426040895,772.0
9.0,31.0,358,12.693581391635675,4544.0
9.0,32.0,542,9.11964379948726,4942.0
10.0,11.0,89,14.21115623238098,1264.0
10.0,12.0,196,10.545116741634015,2066.0
10.0,13.0,369,10.510273097382287,3878.0
10.0,14.0,323,9.646923644775104,3115.0
10.0,15.0,236,12.493615134965344,2948.0
10.0,16.0,84,14.888967776764995,1250.0
10.0,17.0,162,10.801128907779855,1749.0
10.0,18.0,326,10.127279250320578,3301.0
10.0,19.0,385,9.034358588441343,3478.0
10.0,20.0,44,16.659962060200918,733.0
10.0,21.0,194,11.147369953641299,2162.0
10.0,22.0,255,9.548700384110045,2434.0
10.0,23.0,362,11.65435030349579,4218.0
10.0,24.0,69,13.767937310195977,949.0
10.0,25.0,155,11.14275100331768,1727.0
10.0,26.0,93,13.639610306933292,1268.0
10.0,27.0,141,12.242527812005957,1726.0
10.0,28.0,220,9.338456437995703,2054.0
10.0,29.0,211,13.303592077177836,2807.0
10.0,30.0,130,15.422427560069412,2004.0
10.0,31.0,762,11.258549105066677,8579.0
10.0,32.0,1224,8.109415913567819,9925.0
11.0,12.0,33,14.038530608184292,463.0
11.0,13.0,54,13.06436197643874,705.0
11.0,14.0,47,13.50943945704892,634.0
11.0,15.0,26,12.32717834487671,320.0
11.0,16.0,4,17.128659159135182,68.0
11.0,17.0,22,9.769843647759783,214.0
11.0,18.0,45,12.00664226753798,540.0
11.0,19.0,41,10.988545554891473,450.0
11.0,20.0,8,14.349169593605769,114.0
11.0,21.0,25,13.187957882228575,329.0
11.0,22.0,35,16.921360727314017,592.0
11.0,23.0,40,14.150408233273362,566.0
11.0,24.0,10,12.126482714298097,121.0
11.0,25.0,19,13.644681223258651,259.0
11.0,26.0,18,16.004089551102517,288.0
11.0,27.0,18,12.56008449609675,226.0
11.0,28.0,35,12.833274922584314,449.0
11.0,29.0,23,15.354458633439375,353.0
11.0,30.0,20,16.27856239181791,325.0
11.0,31.0,87,12.918962283514084,1123.0
11.0,32.0,203,10.960306660629708,2224.0
12.0,13.0,124,9.558735120505334,1185.0
12.0,14.0,100,9.182339296613698,918.0
12.0,15.0,54,12.172341783304493,657.0
12.0,16.0,22,12.416649470809602,273.0
12.0,17.0,61,13.308195273731126,811.0
12.0,18.0,96,8.883522677071642,852.0
12.0,19.0,117,9.847854497100753,1152.0
12.0,20.0,16,17.800739788971725,284.0
12.0,21.0,67,9.371688372295457,627.0
12.0,22.0,90,13.49457045808554,1214.0
12.0,23.0,127,12.87303215736199,1634.0
12.0,24.0,25,9.05009024038008,226.0
12.0,25.0,48,12.887801689971095,618.0
12.0,26.0,33,13.592704049835241,448.0
12.0,27.0,62,9.972331889607585,618.0
12.0,28.0,96,9.121579596125422,875.0
12.0,29.0,69,15.073170482192246,1040.0
12.0,30.0,30,13.74093720669177,412.0
12.0,31.0,232,12.123964947211958,2812.0
12.0,32.0,463,7.799145908739928,3611.0
13.0,14.0,244,10.04316710938625,2450.0
13.0,15.0,180,13.321996184967102,2397.0
13.0,16.0,53,13.116443091897029,695.0
13.0,17.0,114,9.792917527690122,1116.0
13.0,18.0,194,10.121460320852563,1963.0
13.0,19.0,236,10.452406460861852,2466.0
13.0,20.0,34,17.06891263966198,580.0
13.0,21.0,106,10.177966651112742,1078.0
13.0,22.0,185,11.255422419671305,2082.0
13.0,23.0,252,12.838644764618893,3235.0
13.0,24.0,39,11.219818679640298,437.0
13.0,25.0,80,11.822337174015464,945.0
13.0,26.0,76,13.181258576278559,1001.0
13.0,27.0,107,10.088832907749458,1079.0
