R1,G1,B1,R2,G2,B2,Count,Norm,Norm_with_weight
239,222,222,138,123,133,14,13.287938605828712,3.2779822257738025
163,152,177,222,222,206,14,22.02405155999001,0.32194517373791554
112,100,87,239,177,189,14,13.380018658003934,3.1331808015016724
239,177,189,82,79,63,14,20.997814556079934,8.968252741582786
82,79,63,104,92,102,14,10.942847804893676,6.795651871270784
239,177,189,165,140,132,14,24.25006891283638,7.767502242470967
211,124,143,156,156,132,14,22.467608998631786,11.112976538375005
165,140,132,194,106,132,14,11.200962988151046,5.9683502905065255
194,106,132,206,199,177,14,24.170439378775395,5.536150827039435
239,177,189,129,120,101,14,23.36963477483148,10.592402200873098
173,82,119,206,199,177,14,24.330691364182194,1.7345444372789272
211,124,143,165,148,123,14,28.757362248809393,17.21206979913949
163,152,177,99,90,74,15,21.386213997837284,0.24800078575168333
104,92,102,112,100,87,15,12.044126681403862,1.6816481271384751
182,171,176,112,100,87,15,12.967564140809506,4.044139486714673
104,92,102,239,222,222,15,16.22572450522133,1.03834089706277
87,82,84,104,92,102,15,12.38394417645233,3.9956351561901124
173,160,127,245,125,127,15,11.124760861619281,3.825111724084375
182,171,176,147,136,110,15,16.694150485723313,1.1265348317777253
82,79,63,211,124,143,15,15.566423439890738,4.3068456701246465
165,148,123,239,177,189,15,13.060613300145366,4.632368556524131
245,125,127,129,120,101,15,27.71359171776994,7.115449187734469
173,82,119,203,189,203,15,22.939054945599004,9.501903918976343
245,125,127,87,82,84,15,32.920514322416096,10.884904896015927
163,152,177,131,115,94,15,25.53291736587631,0.5737279163930905
182,171,176,173,160,127,16,13.936597498688597,4.726681069562887
104,92,102,87,82,84,16,15.605989598053828,2.962869010989283
222,222,206,194,106,132,16,21.279871594201797,7.283457680190585
82,79,63,138,123,133,16,7.885981283157532,3.5616613879795134
131,115,94,104,92,102,16,11.77074823732568,2.9195250670223283
165,140,132,245,125,127,16,10.86726716216148,6.548954212610437
239,222,222,163,152,177,16,18.688613067915405,5.300508284039263
112,100,87,194,106,132,16,21.32463168294937,9.073871005893862
182,171,176,82,79,63,16,16.438545915739166,6.5411206895287854
82,79,63,203,189,203,16,11.336953379695668,4.463130099839908
222,222,206,245,125,127,16,9.59234990264084,2.965941708053342
206,199,177,194,106,132,16,16.632275856425657,3.9349571336271443
173,82,119,104,92,102,16,23.9829179281441,5.301078559830438
138,123,133,131,115,94,16,17.850796585859364,3.7962468386563866
211,124,143,165,140,132,16,27.184863503468076,15.063625476855306
206,199,177,173,82,119,16,7.380046028364613,2.2673331774750123
194,106,132,187,179,149,16,26.972334162760642,11.41666656184082
194,106,132,239,225,192,16,28.315768056352052,11.46778580486649
239,225,192,211,124,143,16,19.12668277523081,2.750646798497343
82,79,63,163,152,177,16,10.607021195114338,3.434726149061328
239,177,189,131,115,94,16,24.314510411777537,7.692853118026496
206,199,177,203,189,203,17,11.147214894455242,2.9979132191582183
163,152,177,156,156,132,17,23.710132422182955,0.3146883450798571
182,171,176,120,109,104,17,10.945483631327715,2.491540143056259
163,152,177,165,148,123,17,24.236339813433283,0.20446770592703428
156,156,132,163,152,177,17,9.689228641359916,2.6126656429962765
165,148,123,104,92,102,17,17.14204029267608,3.604062458607069
87,82,84,163,152,177,17,22.46355220267538,11.872732213763566
239,225,192,239,225,192,17,12.636110339316813,3.195201689453227
165,148,123,194,106,132,17,14.100238648184687,1.8981772886488282
222,222,206,211,124,143,17,15.508315071694895,4.516315291424965
129,120,101,194,106,132,17,11.8945031384435,2.365682751616262
129,120,101,239,177,189,17,17.81590976820024,5.927413717902305
129,120,101,245,125,127,17,18.834084481034957,9.417340728626701
239,222,222,245,125,127,17,15.963238975935596,2.522399454905435
247,152,156,138,123,133,17,28.194339021772283,10.924461584205758
245,125,127,120,109,104,17,31.002854725734405,9.76594859790243
194,106,132,131,115,94,17,33.90942024031357,11.071797298133536
245,125,127,156,156,132,17,31.433151628873173,4.867880198301174
211,124,143,120,109,104,17,29.34445216839302,17.489003430982397
211,124,143,233,107,108,17,26.129143436655593,10.010278131742195
239,225,192,245,125,127,17,14.184481113465598,4.860165869779161
245,125,127,187,179,149,17,26.773367366560993,7.520860363010099
182,171,176,129,120,101,18,11.239393989819817,3.8043755328989284
87,82,84,138,123,133,18,12.969390733922992,1.5690298959763238
104,92,102,165,148,123,18,16.70068116195195,1.119975887916488
112,100,87,187,179,149,18,9.417290621766442,4.218014960616157
156,140,123,163,152,177,18,11.746390481074021,3.9265169850515695
112,100,87,104,92,102,18,16.032934534964724,4.5100645997537265
239,225,192,222,222,206,18,10.628187242908313,1.197920915476458
104,92,102,173,160,127,18,13.794465865002051,1.4508813395877151
182,171,176,131,115,94,18,11.0811345187468,2.002822478290764
206,199,177,239,225,192,18,10.192538370393295,3.510321826566879
173,160,127,239,177,189,18,24.278593982563123,5.54068668920989
131,115,94,211,124,143,18,14.016332573619781,2.7517411337494013
120,109,104,245,125,127,18,18.049234563243807,2.54885493327642
245,125,127,222,222,206,18,34.58855731708092,12.899269717685623
239,177,189,120,109,104,18,23.755456711861694,7.810714933587586
245,125,127,165,140,132,18,43.856374190798334,7.86187656396891
239,177,189,165,148,123,18,21.518241974918208,6.7312814726936985
211,124,143,82,79,63,18,21.968095691783205,12.165859073758769
211,124,143,87,82,84,18,24.897123467587758,12.093302625228183
233,107,108,138,123,133,18,34.746465789656696,4.319435966157354
211,124,143,239,225,192,18,24.437888057745987,14.343246034713461
87,82,84,239,177,189,18,19.16348175214912,4.975667510941879
156,156,132,182,171,176,19,8.022016855106028,2.757278062645046
173,160,127,163,152,177,19,10.1544904799444,1.183479437429756
165,140,132,239,225,192,19,11.688705361437174,5.309722471392146
104,92,102,156,140,123,19,14.805376015287965,1.21708046092561
239,225,192,206,199,177,19,11.226197430993382,1.944045974895588
239,225,192,147,136,110,19,14.201063515966558,3.275531893578114
138,123,133,87,82,84,19,14.693880995850787,2.218989001875849
165,148,123,138,123,133,19,10.952333821777342,3.9377140521331913
138,123,133,233,107,108,19,22.455842785732848,0.849239659405364
156,156,132,211,124,143,19,11.091581786271117,3.149782372712594
187,179,149,173,82,119,19,18.108618600970473,5.603670195980483
173,160,127,211,124,143,19,21.522002269271972,3.913790062087126
239,177,189,211,124,143,19,21.746618551294446,8.343266688700563
173,82,119,112,100,87,19,30.787604624175867,11.892975795153491
239,177,189,156,140,123,19,23.264836081103233,10.972311178536247
182,171,176,87,82,84,20,11.868346576005287,4.590049431999839
187,179,149,147,136,110,20,14.356685756361042,4.174056976916663
156,156,132,104,92,102,20,7.648809997427913,2.6852858759683658
182,171,176,165,148,123,20,12.511767096580183,1.4705520831018786
138,123,133,156,140,123,20,16.205691768593102,1.3015388236794099
187,179,149,165,140,132,20,12.894510755683308,4.0593328261631445
112,100,87,239,225,192,20,12.160422625723347,4.196314192080538
203,189,203,131,115,94,20,17.50413772880225,0.5997410580430604
120,109,104,163,152,177,20,10.72664004444222,5.317329247418946
163,152,177,156,140,123,20,23.5458280242406,0.211645358898963
147,136,110,173,82,119,20,16.714309125351136,1.8773468266801576
245,125,127,239,225,192,20,27.70361850832547,6.245351528303834
211,124,143,129,120,101,20,23.608189103099026,8.775256266924808
120,109,104,239,177,189,20,17.788370835118876,2.791165623010454
194,106,132,239,177,189,20,25.23852540496369,8.86647198376315
194,106,132,165,140,132,20,29.769462900300084,11.00758107448193
194,106,132,156,156,132,20,27.754935725720877,14.82816069862269
194,106,132,165,148,123,20,22.920496628182732,7.7694169071986225
82,79,63,194,106,132,20,16.237887710870474,3.4629019764250133
104,92,102,156,156,132,21,14.328281112355036,2.9768292486036665
129,120,101,104,92,102,21,9.585738881004763,4.410504683684334
206,199,177,206,199,177,21,17.82373381702018,3.7556108205585454
129,120,101,182,171,176,21,9.109855361927767,2.6578061948395044
129,120,101,163,152,177,21,9.824510241680864,2.551143348603576
112,100,87,203,189,203,21,8.011265441771757,4.664737993652556
82,79,63,147,136,110,21,9.05961413006261,6.354850307464663
138,123,133,82,79,63,21,15.183517052796246,1.3838014802974634
131,115,94,239,225,192,21,8.152528103320247,3.3527360079325694
131,115,94,239,177,189,21,17.387437512625883,8.706731079027133
173,82,119,187,179,149,21,29.61691618568413,2.7996825407945125
245,125,127,173,160,127,21,21.06650147889096,8.95328128962144
194,106,132,120,109,104,21,29.08067035864919,14.425407081414088
131,115,94,194,106,132,21,12.812560045826341,5.644057930092278
165,140,132,211,124,143,21,16.405646642074746,7.164555637342967
194,106,132,82,79,63,21,22.100330146704408,7.838992722550087
156,140,123,239,177,189,21,17.4735026725384,4.382225752105703
239,177,189,194,106,132,21,20.54435286908375,11.617227621236017
239,177,189,87,82,84,21,21.627604793723542,7.871175238803297
165,148,123,211,124,143,21,13.576825101351487,1.9919643045471926
222,222,206,104,92,102,22,12.342764273503555,6.411273850623661
173,160,127,104,92,102,22,14.506350601544671,5.073383379456375
147,136,110,187,179,149,22,17.270266803204777,3.3172255980757637
120,109,104,182,171,176,22,11.494153727952881,3.1961920875733143
187,179,149,239,222,222,22,16.707645405396768,3.7025265911252663
165,140,132,173,82,119,22,15.037211544836463,6.9278857794407465
187,179,149,239,225,192,22,19.867527655391044,6.933492540621962
147,136,110,239,225,192,22,9.74251542798104,3.4737180653118616
87,82,84,194,106,132,22,18.67169193090643,6.7530043089391345
211,124,143,156,140,123,22,25.47042833759617,10.540608053894672
173,82,119,147,136,110,22,20.891771282196522,6.011712385838407
173,82,119,239,225,192,22,34.070888381908006,6.237413050062873
233,107,108,211,124,143,22,36.007731827843436,4.27237599359975
245,125,127,165,148,123,22,38.37337411020562,6.287130185401864
239,177,189,173,82,119,22,21.081214739681112,11.201537926676933
187,179,149,206,199,177,23,15.668927359975513,4.77899456096352
138,123,133,165,148,123,23,16.059805407082713,2.3052398148471673
203,189,203,87,82,84,23,16.357660918321955,0.8630469004561796
99,90,74,239,177,189,23,18.441051253946792,4.015401101554664
87,82,84,211,124,143,23,16.19096745145082,8.24241468874784
203,189,203,173,82,119,23,19.53801384570102,1.8960921936789976
82,79,63,239,225,192,23,11.695823758474772,3.490706801748
233,107,108,203,189,203,23,37.20864671426295,4.170209999176814
173,82,119,233,107,108,23,26.897465617932248,4.642835125370698
211,124,143,239,177,189,23,23.067220277776364,14.810017278198586
206,199,177,147,136,110,24,8.824078164024366,3.0251341395538525
165,140,132,206,199,177,24,14.59828057597098,5.55243104644638
206,199,177,165,140,132,24,11.197863993898629,2.287640290077864
203,189,203,247,152,156,24,20.805458297562698,2.704245511759467
82,79,63,182,171,176,24,12.174650832739097,3.4216095258668524
233,107,108,194,106,132,24,43.37890310651762,2.2498915753177338
245,125,127,82,79,63,24,32.188463404750586,6.8631108016100875
194,106,132,233,107,108,24,22.616664724032063,7.031056159298596
233,107,108,173,82,119,24,38.881076196675515,4.385317754757754
173,160,127,182,171,176,25,12.558542183099922,3.5617453153657728
138,123,133,129,120,101,25,18.00008812805955,2.6409554380844593
203,189,203,173,160,127,25,14.583447414511683,1.6980888278799826
104,92,102,120,109,104,25,16.090617973433183,1.5189155432692871
138,123,133,173,160,127,25,17.17653060544947,1.9607798868564315
112,100,87,147,136,110,25,12.742998469065908,3.317465120137096
239,225,192,187,179,149,25,16.02216822404132,4.679066725150985
156,156,132,194,106,132,25,15.95817907771288,4.870233886324425
239,225,192,165,140,132,25,16.785120023402616,1.3132900196346955
156,140,123,211,124,143,25,11.365318044769792,3.7564860580470953
245,125,127,239,222,222,25,23.84436748295243,2.966959413515028
211,124,143,194,106,132,25,24.278600804395495,14.235067962254691
156,140,123,182,171,176,26,10.107825933254004,2.684665082169762
138,123,133,120,109,104,26,15.544741992061232,1.8763655745043777
104,92,102,129,120,101,26,17.433140033093075,3.291243702806002
156,140,123,104,92,102,26,9.207908519787996,3.9535310883866845
112,100,87,131,115,94,26,9.697882465053238,2.9611804797696952
187,179,149,187,179,149,26,12.544214264984683,2.165778943318621
165,140,132,147,136,110,26,13.563617886725448,5.498515124496143
239,222,222,206,199,177,26,15.45462693811744,3.6141660215947122
239,225,192,82,79,63,26,14.0963386415995,5.167074475949698
245,125,127,131,115,94,26,22.907854987941707,5.532470041860928
147,136,110,206,199,177,27,9.938645399449372,2.5525788143168593
239,225,192,129,120,101,27,12.273197003817884,2.39942060860482
129,120,101,203,189,203,27,7.491035927041669,2.527682966583988
120,109,104,138,123,133,27,10.688144191732825,3.176215052366408
129,120,101,138,123,133,27,8.336771580984303,2.625786303884333
239,222,222,147,136,110,27,10.671941080933355,2.8995164797593636
239,222,222,203,189,203,27,11.662690310345617,3.727212802465236
239,225,192,173,82,119,27,16.820687682653535,4.1733479727282194
112,100,87,173,82,119,27,11.61452308549613,2.762016458473792
173,160,127,194,106,132,27,15.144364720079137,2.5723320885149765
194,106,132,129,120,101,27,30.830229836788188,14.68849322965065
194,106,132,173,160,127,27,26.8235089415246,12.547981612583907
239,177,189,99,90,74,27,21.333312790778457,9.787539814086635
239,225,192,131,115,94,27,10.373168549616805,3.697206919891091
203,189,203,129,120,101,28,19.946757612819933,0.6804161735676788
147,136,110,82,79,63,28,10.917031629480928,2.7524476100876
131,115,94,206,199,177,28,10.487291499947888,5.621288412101244
182,171,176,99,90,74,28,17.16884242702881,4.711152712819128
239,225,192,87,82,84,28,14.089038102203832,2.414932036641526
147,136,110,239,222,222,28,12.919395847788968,7.050688701799169
131,115,94,112,100,87,28,14.646801101555749,5.163186622812234
239,222,222,187,179,149,28,15.832393424808396,5.911774548722536
131,115,94,147,136,110,28,12.914852284235591,5.312180471887871
120,109,104,194,106,132,28,12.815067785647974,6.425052187159325
82,79,63,173,82,119,28,16.403519252762717,5.811954553727296
87,82,84,239,225,192,28,13.493030418614067,2.5056750711738336
233,107,108,206,199,177,28,38.9985569182659,4.119604518630775
99,90,74,163,152,177,29,11.933710122564552,2.3734641733098
112,100,87,165,140,132,29,7.858172346951588,3.525542273015995
87,82,84,203,189,203,29,16.168703488730134,4.720930703309512
173,160,127,138,123,133,29,16.535822071716048,5.062416158672113
120,109,104,104,92,102,29,10.038105979444294,4.212289695517327
