R1,G1,B1,R2,G2,B2,Count,Norm,Norm_with_weight
138,123,133,239,222,222,10,19.612764394435892,0.015889565589841857
104,92,102,82,79,63,10,4.561913128907661,3.3480597381655013
239,225,192,112,100,87,10,50.53605105784349,7.801935566774163
104,92,102,173,82,119,10,36.028471574739164,34.80642768283788
131,115,94,182,171,176,10,24.873605733051445,0.40224011738148396
211,124,143,187,179,149,10,75.55490171246271,35.7039826966815
245,125,127,138,123,133,10,46.44599410555937,2.4804877496647113
104,92,102,131,115,94,10,56.22329622584406,3.5043441980797345
239,177,189,187,179,149,10,51.4742816284965,51.4742816284965
211,124,143,104,92,102,10,37.57229453260477,28.30002553075383
247,152,156,182,171,176,10,37.41616834339987,36.929223880414824
211,124,143,206,199,177,10,73.43254353559814,25.75117649905959
104,92,102,165,140,132,11,15.770700567670788,0.11917367939669332
206,199,177,104,92,102,11,17.778975347981227,1.051395554777485
163,152,177,203,189,203,11,17.04135773201845,1.44094198809311e-07
203,189,203,203,189,203,11,14.148959840459165,0.0001158899419598111
203,189,203,165,140,132,11,12.059476480813197,0.1943261772607781
239,225,192,182,171,176,11,11.54598264682535,11.025211100287015
163,152,177,233,107,108,11,51.94589481164089,2.378847464413077e-05
147,136,110,163,152,177,11,28.512300440929177,0.23608534719770496
165,148,123,182,171,176,11,16.16800672307112,12.389375820505494
147,136,110,245,125,127,11,24.254361209912233,0.004494645699872668
247,152,156,163,152,177,11,46.04620863288474,28.533932336498367
147,136,110,211,124,143,11,49.4048844740095,0.026283438536759116
247,152,156,104,92,102,11,35.35503708395446,31.09460755974855
245,125,127,147,136,110,11,52.825198695881824,2.8211745870039455
239,177,189,147,136,110,11,31.58538729735022,11.442012331635953
239,177,189,173,160,127,11,30.194906408953308,4.408879072785756
104,92,102,247,152,156,11,43.49175341943291,2.8139473521324794
211,124,143,112,100,87,11,47.5756088367399,4.185278380596345
239,225,192,194,106,132,11,45.52062821849891,6.06200570508497
211,124,143,203,189,203,11,27.937156699232904,1.6368842767074363
