Order1,Order2,Count,Norm,Norm_with_weight
14,2,17,38.99325174186559,30.63082282413254
14,7,17,30.10140651464309,29.99241882272684
14,5,17,46.70273935829499,45.55314660891012
29,5,17,42.45680919725705,21.91611040845721
6,16,17,40.432990466152575,25.055531136596912
5,13,17,50.398201658015616,2.6915587495817235
2,15,17,35.18858051853602,6.448108678353025
5,19,17,52.81440999545658,0.0004086882095136
3,13,17,32.629003585129375,26.20921530661648
3,4,17,26.529703424679315,17.175283695624767
30,5,17,51.35521777390903,1.3130529683899366
5,25,17,50.80839656611673,7.6027874688590575
24,14,18,0.5166861842636921,0.5032921549559958
9,16,18,13.909554053103232,3.104273349083023
11,22,18,20.000999193283423,14.679047634155058
12,25,18,8.580308151614837,1.625611750150946
18,20,18,19.609771363405287,6.022212665528785
12,11,18,13.763614776328884,2.607632908934689
30,28,18,6.706220259613739,4.897494307204121
11,23,18,20.44448086375632,0.6770473392775277
24,15,18,24.873605733051445,4.300037113356715
27,30,18,6.055148000368201,0.3580833859376374
23,7,18,22.787256282961444,22.787256282961444
15,3,18,29.188036697337857,28.185696024069244
13,5,18,13.408901515617735,0.188141562308822
5,28,18,49.78076474462718,47.9410170221052
7,13,18,12.801544825785102,7.803892694903202
5,21,18,42.69669263983326,9.629380530297045
7,22,18,27.196863193949444,2.2830482565855403
3,8,18,77.14588058606773,47.770710760853824
3,9,18,29.713807022158992,2.548758622715258
4,16,18,46.23109862172653,1.2408380347116312
3,30,18,36.552854868716345,6.091830786614287
9,7,18,24.658041921315668,0.149553945064006
19,24,19,34.10390160678827,1.4242748544469823
23,20,19,31.920079149100587,0.0242035112843837
21,30,19,8.82405372169794,7.53304015341827
11,18,19,8.65123267913708,6.349275621882804
30,27,19,3.4864920165058524,3.408144648794058
30,17,19,2.414326171616778,0.0040153968328455
16,9,19,5.917755939706384,4.742907775732531
22,16,19,4.4915771967336,3.5576302641414
16,4,19,51.701383873175104,4.410502818031198
19,3,19,34.9951756836933,15.614785959935308
25,1,19,49.93647592058037,49.25497735815074
23,3,19,36.6065725042683,36.6065725042683
7,3,19,15.41040354499583,4.582775660602507
1,12,19,68.4190307172192,4.836986462371448
7,18,19,37.16570212802047,22.297902821962374
24,9,20,10.361260468417994,10.092666047654772
25,17,20,14.834175917444066,0.0698528507421582
19,11,20,20.58229427226658,20.24788427434209
24,22,20,20.37662470889728,0.6805586890018083
16,18,20,6.805673950227656,5.454548012204204
25,21,20,20.533295244412653,10.506033871763243
12,30,20,4.250871503674646,4.115244639951142
26,15,20,20.132304448856416,0.5348961559769249
13,20,20,19.214135416066195,3.0707362773195186
20,18,20,24.584707486449695,2.078774346462621e-07
17,1,20,44.61631466625756,35.06218937317048
5,30,20,42.918073598956674,6.422107647524554
3,14,20,44.88603454140456,0.6714701468748716
13,7,20,26.154240970712987,16.58412292295603
2,7,20,16.107908959036088,1.2916303513202647
2,21,20,34.51745711358669,8.000950474099584
2,19,20,33.89039469337646,33.532705419597534
2,22,20,30.0974601461783,19.367198115357134
8,2,20,29.894907051149747,28.22345912914177
11,19,21,13.26596624536983,9.736101109102096
14,11,21,27.76555264617561,20.391398905016803
27,27,21,0.0,0.0
14,24,21,19.944547872567203,17.466064157552825
14,20,21,17.85421414849133,11.538423512578555
12,26,21,23.92757928542617,4.533281713400543
8,17,21,4.271460340043806,2.296406804056663
16,8,21,23.48010239963531,0.0100381082986548
15,30,21,5.084596139669943,0.10532189651878
15,7,21,18.94219025893104,16.807281472899337
1,25,21,45.12694362671596,1.3795266190679314
5,23,21,59.0509704286853,17.905404779843643
2,13,21,44.24579811264037,17.293935434784707
15,2,21,29.51942273380328,23.60635060751837
21,3,21,26.735751970749813,19.63509930483018
2,8,21,37.24399341101847,31.18674733102398
18,7,21,26.19589758037126,18.194426841041928
7,2,21,8.947366944010486,2.1255434964015296
7,9,21,27.916265603763524,15.482031813841322
22,3,21,35.515412949397025,12.172023312936052
28,11,22,19.74155093316609,19.11168370810681
23,11,22,34.07728906111082,0.0258392232199412
17,25,22,7.404478043307505,0.0613099870104717
13,24,22,18.19038606938479,9.947343814563782
25,29,22,16.331593456126534,0.076904060355041
21,1,22,34.06119363378834,25.015003137827478
25,30,22,2.275665446552057,0.0107159116665293
17,30,22,6.412615247321239,0.0530972413203076
9,2,22,16.582919900702574,1.069182344294884
3,18,22,36.378551528134295,0.5442029260829209
1,17,22,42.78060516224924,12.888577978193428
1,30,22,50.12068494773622,0.3215885830267561
4,3,22,23.22773604899993,0.4007254537144749
5,22,22,41.13706858324574,7.9803487997467855
7,1,22,49.642693077544784,47.66898293986548
25,27,23,4.557465520818536,0.0214607107641151
16,22,23,25.709157507524047,20.60513550952866
26,9,23,14.15674048218237,0.2281214499445581
10,7,23,22.426800927246926,20.667070891858888
9,3,23,43.98487091199052,38.68170606425636
26,1,23,38.276550768082494,0.12292667270125
8,30,23,15.381966228320724,11.161018821199557
4,26,23,47.12307787267793,1.264778668046136
1,4,23,34.47237772810216,10.385545663913266
3,7,23,13.223235295357586,9.959942588362368
27,17,24,3.74238042352308,0.2213132120701898
21,27,24,14.331517026889347,3.264263330092142
27,21,24,10.242774953352631,0.6057271492737597
26,6,24,40.70759104580684,0.1738423695471086
8,24,24,26.075150154068595,3.64590309890313
4,2,24,15.282405584945622,0.5804458269623501
5,8,24,38.40905068454386,1.6392701498962965
2,4,24,20.726344592701608,20.50759260670293
4,1,24,23.353808805843183,6.855383709002403
23,24,25,39.50762983600431,0.0299567980420226
16,14,25,7.290777164973247,5.84334400728944
26,23,25,25.491100833941843,14.699575686547629
11,13,25,4.799737094781946,3.522602484249138
16,23,25,10.440320387341366,8.36761050147619
12,17,25,6.906137186901501,1.3084259400483869
30,25,25,2.275665446552057,0.003784782658667
19,2,25,43.6904801352455,1.8246373377689853
30,21,25,21.750953739180822,3.357989713021631
18,3,25,33.56309106160929,33.2446102045871
5,29,25,51.98203270288021,0.0093612032769963
3,2,25,33.7837220907614,15.964727656565502
18,24,26,18.442677265695,0.1812185340673521
16,13,26,8.77141669119812,7.030033149852712
11,14,26,18.338818845703543,0.0774234550631154
18,11,26,15.644795730390983,1.2334129908762652
12,15,26,4.811147217374182,0.9115124200752106
25,25,26,0.0,0.0
21,17,26,18.17590987860804,1.4883459632018972
29,27,26,21.43225516291532,3.9824831198986126
30,8,26,0.0,0.0
5,15,26,43.7381426687269,27.662273431528504
17,27,27,3.74238042352308,0.030987369239595
30,14,27,6.215714099051781,0.0103376913196828
14,26,27,13.019300162584653,0.8440597110943471
13,16,27,8.782706603280257,0.7358376990786877
14,16,27,11.580650171014746,10.141537434966343
29,17,27,21.129161939347263,0.0719304458428322
29,26,27,7.522888779787026,6.88958005098257
30,1,27,51.49282501059688,37.60476208483219
12,1,27,43.13493160949727,41.33586451484536
23,2,27,51.23529176819148,4.195434516673509
2,14,27,43.19731845828314,6.079454069596929
2,23,27,36.92899260280898,6.767029365096823
7,10,27,27.99747331390836,4.088023076235364
30,15,27,5.084596139669943,0.0084564676784566
26,14,28,10.461640465196862,0.069830506795752
17,8,28,7.595779904607474,4.089559863767474
15,27,28,7.242718011602027,3.4613376791590222
24,10,28,12.417166253992368,12.09527669357859
30,9,28,3.783045086550888,3.6980336701864975
17,29,28,16.38865819811974,0.003037029565914
15,12,28,4.811147217374182,0.0996576985557387
29,25,28,0.8694590693467553,0.4828053355295555
15,17,28,2.4838360937685176,2.4838360937685176
13,2,28,40.62456349208836,15.579005909717104
8,1,28,45.12694362671596,39.07614137407233
9,30,28,18.55144744814804,18.480518269649803
4,27,28,53.01643560821627,2.013633824737729
10,20,29,23.01121493655032,23.01121493655032
12,21,29,5.795598147631472,1.0980249521888843
9,26,29,6.929370528190962,6.9028769319123855
23,16,29,40.00144765853855,0.0303312371273491
13,11,29,5.811567927263224,1.4880274776678757
18,26,29,14.035381227430593,13.90219920811836
22,5,29,46.79321184916768,0.3739607192930476
12,27,29,4.654972697241508,0.8819238399781101
27,29,29,17.590366622880914,1.0402417975287448
15,21,29,16.580990726150873,0.3434572464494446
13,3,29,44.04292479081912,11.176502770667396
3,23,29,36.9596755541,12.960944599177903
2,28,29,41.23847894972157,4.885194538807083
2,18,29,39.90973914179987,17.239757477817925
1,21,29,36.29746456591234,0.0970832950670123
22,26,30,10.522379174725726,7.831160261619175
12,12,30,0.0,0.0
25,12,30,8.580308151614837,0.0404039286019027
23,26,30,25.491100833941843,0.0193287160662651
20,14,30,13.447755261008396,0.940369043738662
25,8,30,6.456887913249851,0.0304049264464163
24,18,30,19.43633161326433,0.8903984517691439
21,25,30,13.363461152079427,3.998261753459718
18,16,30,26.65324159680014,2.101302886978337
26,22,30,33.3102479063762,0.093670640978674
17,17,30,18.961740591722027,0.1570055394282883
12,4,30,52.22622301085196,18.26453872401064
26,8,30,17.7766135794321,10.250976545251254
29,7,30,14.902526466248093,7.037057051421408
18,5,30,47.70740539833693,14.651070413066243
7,29,30,18.49024655642161,0.7173581749084126
1,14,30,45.95011011903853,0.0058590716119137
2,32,30,38.93640649814993,0.7017121440920274
15,26,31,31.629993172605264,0.6551810166050078
14,30,31,8.571604379176552,7.506421954331718
28,30,31,10.309000652395405,3.008731670693663
13,26,31,8.076950544516883,1.2908301367765371
29,21,31,13.539258328819392,7.518267841151218
10,5,31,50.30271602432432,50.30271602432432
27,6,31,43.66218404334689,13.991352541386217
8,5,31,19.765603946602702,3.862360832987429
30,29,31,24.31574437720537,3.135960010993324
6,25,31,44.63834584758589,22.568824956212243
12,29,32,6.646247779845246,1.25918769983776
31,20,32,40.09652614761567,1.0653265133592873
27,14,32,1.4084598230049012,0.0832921114972007
29,30,32,23.51319799476552,0.0800464694155551
25,6,32,16.433942787804742,16.433942787804742
12,6,32,35.68407849625224,7.67157635519567
8,27,32,8.609339091150444,1.2037827543261743
15,5,32,12.19896904772664,6.368396635894911
5,18,32,43.82492600191353,6.557805810648699
6,12,32,33.22703298243917,26.88390023236156
